word,best_response,shown,meaning,,,
COMMUNICATE,To share or exchange information news or ideas,FALSE,I can communicate my ideas clearly and effectively to others.,,,
NOXIOUS,Harmful poisonous or very unpleasant,FALSE,I will fight the noxious influence of extremist ideologies.,,,
DISCRIMINATE,To recognize a distinction; differentiate,FALSE,I do not discriminate on the basis of caste creed or gender.,,,
QUINTESSENCE,The most perfect or typical example of a quality or class,FALSE,Discipline is the quintessence of a soldier's life.,,,
IMPECCABLE,In accordance with the highest standards of propriety; faultless,FALSE,An officer's character should be impeccable.,,,
WAY,A method style or manner of doing something,FALSE,I find a way to complete my task against all odds.,,,
ELICIT,To evoke or draw out a response from someone,FALSE,I can elicit information from sources using my interpersonal skills.,,,
REVENGE,The action of inflicting hurt or harm on someone for an injury,FALSE,I believe in justice not revenge.,,,
DISCREET,Careful and circumspect in one's speech or actions,FALSE,I am discreet in handling sensitive matters.,,,
ILLUMINATE,To light up; to help to clarify or explain,FALSE,A good teacher can illuminate a student's mind.,,,
ZEPHYR,A soft gentle breeze,FALSE,A gentle zephyr was blowing across the valley.,,,
MALIGN,Evil in nature or effect; malevolent,FALSE,I will never malign my country or my organization.,,,
TRITE,Overused and consequently of little import; lacking originality,FALSE,His speech was full of trite and cliched phrases.,,,
NONCHALANT,Feeling or appearing casually calm and relaxed,FALSE,I am not nonchalant about my responsibilities.,,,
WEAR,To have something on one's body as clothing decoration or protection,FALSE,I want to wear the prestigious uniform of the armed forces.,,,
PRECISE,Marked by exactness and accuracy of expression or detail,FALSE,I am precise and accurate in my work.,,,
PAIR,A set of two things used together,FALSE,I work well in a pair as well as in a larger group.,,,
THRONG,A large densely packed crowd of people or animals,FALSE,A large throng had gathered to see the movie star.,,,
OFFER,To present or proffer something for someone to accept or reject,FALSE,I offer my help to others without being asked.,,,
PLACID,Not easily upset or excited; calm and peaceful,FALSE,I love the placid waters of the Dal lake.,,,
DISCRETION,The freedom to decide what should be done in a particular situation,FALSE,An officer is expected to use his discretion wisely.,,,
CONSIDER,To think carefully about something,FALSE,I consider all options before making a final decision.,,,
PUSILLANIMOUS,Showing a lack of courage or determination; timid,FALSE,A soldier can never be pusillanimous.,,,
HIT,To bring one's hand or a tool or weapon into contact with something quickly and forcefully,FALSE,I hit the target with precision and accuracy.,,,
SPASMODIC,Occurring or done in brief irregular bursts,FALSE,He works in a spasmodic manner.,,,
PREPARE,To make something ready for use or consideration,FALSE,I prepare myself mentally and physically for any eventuality.,,,
INTOLERANT,Not tolerant of views beliefs or behavior that differ from one's own,FALSE,I am intolerant towards indiscipline and dishonesty.,,,
CREDIBLE,Able to be believed; convincing,FALSE,A leader must have a credible personality.,,,
TERRORIST,A person who uses unlawful violence and intimidation in the pursuit of political aims,FALSE,A terrorist is an enemy of humanity.,,,
WINSOME,Attractive or appealing in appearance or character,FALSE,She had a winsome and charming smile.,,,
PUTREFY,To decay or rot and produce a fetid smell,FALSE,The dead body will putrefy if not buried soon.,,,
DISCOURAGE,To cause someone to lose confidence or enthusiasm,FALSE,I do not get discouraged by temporary setbacks.,,,
PERENNIAL,Lasting or existing for a long or apparently infinite time,FALSE,Corruption is a perennial problem in many countries.,,,
NOISE,A sound especially one that is loud or unpleasant,FALSE,I can focus on my task even in a noisy environment.,,,
VIRTUOSO,A person highly skilled in music or another artistic pursuit,FALSE,He is a virtuoso on the violin.,,,
PROACTIVE,Creating or controlling a situation by causing something to happen,FALSE,I am proactive in anticipating problems and taking preventive action.,,,
ORGANISE,To arrange systematically; order,FALSE,I organise my work in a structured manner.,,,
PARSIMONIOUS,Very unwilling to spend money or use resources; stingy or frugal,FALSE,I am not parsimonious but I am careful with money.,,,
POMPOUS,Affectedly grand solemn or self-important,FALSE,I dislike pompous and arrogant people.,,,
UXORIOUS,Having or showing a great or excessive fondness for one's wife,FALSE,He is an uxorious husband who is devoted to his wife.,,,
INTRUDE,To put oneself deliberately into a place or situation where one is unwelcome,FALSE,I do not intrude in others' personal space.,,,
UNSWERVING,Not changing or becoming weaker; steady or resolute,FALSE,My loyalty to my country is unswerving.,,,
PROGNOSTICATE,To foretell or prophesy an event in the future,FALSE,A good analyst can prognosticate the market trends.,,,
SCHISM,A split between strongly opposed sections or parties,FALSE,There was a schism in the political party over the leadership issue.,,,
NOT,Used with an auxiliary verb to make it negative,FALSE,I am not afraid of taking responsibility for my actions.,,,
SACCHARINE,Excessively sweet or sentimental,FALSE,I do not like saccharine and overly sweet movies.,,,
HEALTH,The state of being free from illness or injury,FALSE,I prioritize my physical health to perform my duties effectively.,,,
BRIGADIER,A rank of officer in the army above colonel,FALSE,A Brigadier commands a brigade with great responsibility.,,,
PACK,A collection of things wrapped or boxed together,FALSE,I pack my bag efficiently for any deployment.,,,
PENITENCE,The action of feeling or showing sorrow and regret for having done wrong,FALSE,He showed a genuine penitence for his mistake.,,,
NOVICE,A person new to and inexperienced in a job or situation,FALSE,As a novice I have a lot to learn.,,,
REQUISITE,Made necessary by particular circumstances or regulations,FALSE,I have all the requisite qualifications for this job.,,,
YOKE,A wooden crosspiece that is fastened over the necks of two animals,FALSE,We must throw off the yoke of poverty and illiteracy.,,,
PAST,Gone by in time and no longer existing,FALSE,I learn from the past but I do not dwell on it.,,,
MISANTHROPE,A person who dislikes humankind and avoids human society,FALSE,I am not a misanthrope; I love humanity.,,,
DEMONSTRATE,To clearly show the existence or truth of something,FALSE,I demonstrate leadership qualities through my actions.,,,
PUNITIVE,Inflicting or intended as punishment,FALSE,The army launched a punitive strike against the terrorists.,,,
PANIC,Sudden uncontrollable fear or anxiety,FALSE,I do not panic in a crisis and I keep my cool.,,,
UNWITTING,Not aware of the full facts,FALSE,I was an unwitting accomplice in his crime.,,,
FALTER,To lose strength or momentum; to waver,FALSE,I will never falter in my duty towards my nation.,,,
RAMIFICATION,A complex or unwelcome consequence of an action or event,FALSE,The decision will have far-reaching ramifications.,,,
VENIAL,Denoting a sin that is not regarded as depriving the soul of divine grace; pardonable,FALSE,A venial sin can be forgiven.,,,
RATE,To assign a standard or value to something,FALSE,I rate my own performance critically for self-improvement.,,,
NEGATE,To nullify; make ineffective,FALSE,One bad act can negate all your good work.,,,
ENHANCE,To intensify increase or further improve the quality of something,FALSE,I constantly work to enhance my skills and knowledge.,,,
EMPLOY,To give work to someone and pay them for it,FALSE,I can employ different tactics to suit the situation.,,,
MEDIOCRE,Of only moderate quality; not very good,FALSE,I strive for excellence and detest being mediocre.,,,
DECREE,An official order issued by a legal authority,FALSE,I follow the decree of the military law.,,,
VOLITION,The faculty or power of using one's will,FALSE,I have joined the army of my own volition.,,,
ANTICIPATE,To regard as probable; expect or predict,FALSE,I anticipate challenges and prepare for them in advance.,,,
INDULGE,To allow oneself to enjoy the pleasure of,FALSE,I do not indulge in self-pity.,,,
SULLY,To damage the purity or integrity of; defile,FALSE,I will not sully my family's name.,,,
GENESIS,The origin or mode of formation of something,FALSE,The genesis of a great idea can come from a simple thought.,,,
AWARENESS,Knowledge or perception of a situation or fact,FALSE,General awareness is crucial for an officer.,,,
WAX,To become larger or stronger,FALSE,The moon will wax and become full in a fortnight.,,,
EMBODY,To be an expression of or give a tangible form to an idea,FALSE,I embody the spirit of a warrior.,,,
ERR,To be mistaken or incorrect; make a mistake,FALSE,To err is human; to learn from it is divine.,,,
RASH,Displaying or proceeding from a lack of careful consideration of consequences,FALSE,I do not make rash and impulsive decisions.,,,
DARK,With little or no light,FALSE,I can navigate effectively even in complete darkness.,,,
NAME,A word or set of words by which a person or thing is known,FALSE,I want to make my parents and my country proud of my name.,,,
CREATE,To bring something into existence,FALSE,I create a positive and motivating environment for my team.,,,
DEVELOP,To grow or cause to grow and become more mature or advanced,FALSE,I am constantly developing new skills and competencies.,,,
SHAME,A painful feeling of humiliation caused by the consciousness of wrong behavior,FALSE,I am not ashamed of accepting my mistakes.,,,
CRUCIAL,Decisive or critical especially in the success or failure of something,FALSE,Teamwork is crucial for the success of any mission.,,,
