word,best_response,shown,meaning,,,,
DETEST,I detest any form of cheating or unfair means,FALSE,To dislike intensely,,,,
DISCLOSE,I will never disclose classified information to anyone,FALSE,To make secret or new information known,,,,
BENEFIT,The training will benefit the entire platoon's performance,FALSE,An advantage or profit gained from something,,,,
REGRET,I make thoughtful decisions so I don't have to regret them later,FALSE,To feel sad repentant or disappointed over something that has happened or been done,,,,
SURVEILLANCE,The police kept him under surveillance,FALSE,Close observation,,,,
OCCULT,He was interested in occult practices like black magic,FALSE,Mystical,or magical powers,practices,or phenomena,
YIELD,I never yield to pressure or unfair demands,FALSE,To give way to arguments demands or pressure,,,,
GERM,Good hygiene helps in keeping germs at bay,FALSE,A microorganism especially one which causes disease,,,,
SOBER,He was a sober person who never drank alcohol,FALSE,Not affected by alcohol; not drunk,,,,
HARDSHIP,I have the resilience to endure any hardship,FALSE,Severe suffering or privation,,,,
EXEMPT,No one is exempt from the rules of discipline,FALSE,Free from an obligation or liability imposed on others,,,,
SPARSE,The sparse vegetation of the desert was a sad sight,FALSE,Thinly dispersed or scattered,,,,
OPERATE,I can operate effectively as part of a team,FALSE,To control the functioning of a machine process or system,,,,
GENTLE,A gentle approach can resolve many interpersonal issues,FALSE,Having or showing a mild kind or tender temperament or character,,,,
SENTIENT,He believed that all sentient beings have a right to life,FALSE,Able to perceive or feel things,,,,
OVERGROWN,The garden was overgrown with weeds,FALSE,Covered with plants that have been allowed to grow wild,,,,
REDOUBTABLE,He was a redoubtable opponent in the chess tournament,FALSE,Formidable,,,,
NOMADIC,The nomadic tribes move from one place to another,FALSE,Living the life of a nomad; wandering,,,,
CRUDE,My methods are refined and not crude,FALSE,In a natural or raw state; not yet processed or refined,,,,
RUSTIC,He preferred a rustic life in the countryside,FALSE,Relating to the countryside; rural,,,,
POINT,I always try to understand the other person's point of view,FALSE,A particular spot place or position in an area or on a map,,,,
SUPINE,He was lying in a supine position on the bed,FALSE,Lying face upward,,,,
SALACIOUS,The tabloid was full of salacious stories about celebrities,FALSE,Having or conveying undue or indecent interest in sexual matters,,,,
SUBDUE,The police subdued the violent mob,FALSE,To overcome,or bring under control,,,
HARASS,I will never harass or bully anyone,FALSE,To subject to aggressive pressure or intimidation,,,,
PROCRASTINATE,He had a habit of procrastinating and doing things at the last minute,FALSE,To delay or postpone action,,,,
PORE,He pored over the old manuscript for hours,FALSE,To be absorbed in the reading or study of,,,,
SWARTHY,He was a swarthy man with a dark complexion,FALSE,Dark-skinned,,,,
BOND,The bond between soldiers is forged in training and adversity,FALSE,A relationship between people or groups based on shared feelings interests or experiences,,,,
OBLIVION,He drank himself into oblivion,FALSE,The state of being unaware or unconscious of what is happening,,,,
DEBT,I feel a debt of gratitude towards my country and its people,FALSE,A sum of money that is owed or due,,,,
ADVENTURE,Life in the armed forces is an adventure with a purpose,FALSE,An unusual and exciting or daring experience,,,,
MACHIAVELLIAN,His Machiavellian tactics helped him win the election,FALSE,Cunning,and unscrupulous,,,
CONQUER,I am determined to conquer my fears and limitations,FALSE,To overcome and take control of a place or people by use of military force,,,,
TOUCH,A personal touch can motivate a team member immensely,FALSE,To come so close to an object as to be or come into contact with it,,,,
SYBARITE,He was a sybarite who loved luxury and pleasure,FALSE,A person who is self-indulgent in their fondness for sensuous luxury,,,,
MODERN,I keep myself updated with modern technology and tactics,FALSE,Relating to the present or recent times as opposed to the remote past,,,,
INSTABILITY,A good leader brings stability in times of instability,FALSE,The state of being unstable,,,,
SUBTERRANEAN,The subterranean cave was dark and damp,FALSE,Existing,or done under the earth's surface,,,
TACT,I use tact and diplomacy to handle sensitive situations,FALSE,Adroitness and sensitivity in dealing with others or with difficult issues,,,,
OVERLOOK,I am detail-oriented and do not overlook important facts,FALSE,To fail to notice something,,,,
STREW,The floor was strewn with flowers,FALSE,To scatter or spread things untidily over a surface or area,,,,
GRASP,I quickly grasp new concepts and apply them practically,FALSE,To seize and hold firmly,,,,
WOE,I face my woes with courage and a smile,FALSE,Great sorrow or distress,,,,
COMMAND,I am prepared to command my troops with confidence and care,FALSE,To give an authoritative order,,,,
OVERHEAR,I happened to overhear their conversation,FALSE,To hear a conversation or remarks without the speaker's knowledge,,,,
APPRECIATE,I appreciate the hard work and dedication of my colleagues,FALSE,To recognize the full worth of,,,,
STRINGENT,The company has stringent quality control standards,FALSE,Strict,and exacting,,,
FADE,The glory earned through hard work never fades,FALSE,To gradually grow faint and disappear,,,,
LAND,I am proud of my land and will do anything to protect it,FALSE,The part of the earth's surface that is not covered by water,,,,
QUIXOTIC,His quixotic plan to save the world was impractical,FALSE,Exceedingly idealistic; unrealistic and impractical,,,,
SHEEN,The silk dress had a beautiful sheen,FALSE,A soft luster on a surface,,,,
SUPERLATIVE,He was a superlative player and won many awards,FALSE,Of the highest quality or degree,,,,
AWFUL,I find a positive lesson even in an awful situation,FALSE,Very bad or unpleasant,,,,
OVERPRICE,The goods in that shop are overpriced,FALSE,To charge too high a price for,,,,
MISCONSTRUE,Do not misconstrue my silence as my weakness,FALSE,To interpret a person's words or actions wrongly,,,,
FUSS,I focus on the task at hand without creating any fuss,FALSE,A display of excessive excitement or activity,,,,
RETORT,He gave a sharp retort to her question,FALSE,To say something in answer to a remark or accusation,,,,
IMPERTINENT,I am respectful and not impertinent,FALSE,Not showing proper respect; rude,,,,
QUOTIDIAN,The quotidian routine of his life was boring,FALSE,Of or occurring every day; daily,,,,
SATISFY,I am satisfied with my performance when I give my best,FALSE,To meet the expectations needs or desires of someone,,,,
SKULK,He was skulking in the shadows,FALSE,To keep out of sight,,,,
SCAPEGOAT,He was made a scapegoat for the team's failure,FALSE,A person who is blamed for the wrongdoings,or faults of others,,,
SECRETIVE,He was a secretive person who never shared his feelings,FALSE,Inclined to conceal feelings and intentions,,,,
LIGHT,Knowledge is the light that removes the darkness of ignorance,FALSE,The natural agent that stimulates sight and makes things visible,,,,
INHUMAN,I will always stand against any inhuman act,FALSE,Lacking human qualities of compassion and mercy,,,,
PILFER,He was caught pilfering from the office,FALSE,To steal things of little value,,,,
IMPOVERISH,I want to work to enrich my country not to impoverish it,FALSE,To make a person or area poor,,,,
FORTUNE,Hard work is the key to creating one's own fortune,FALSE,A large amount of money or assets,,,,
LOOPHOLE,I can find a loophole in the enemy's defense,FALSE,An ambiguity or inadequacy in a set of rules,,,,
HYPOCRITE,I practice what I preach and am not a hypocrite,FALSE,A person who indulges in hypocrisy,,,,
INERT,An inert mind is a liability; I keep mine active and sharp,FALSE,Lacking the ability or strength to move,,,,
INFILTRATE,Our commandos can infiltrate enemy lines undetected,FALSE,To enter or gain access to an organization or place surreptitiously,,,,
SKID,The car skidded on the icy road,FALSE,To slide,on slippery ground or as a result of stopping or turning too quickly,,,
PERCEPTIBLE,There was a perceptible change in the weather,FALSE,Able to be seen or noticed,,,,
OVERHAUL,The engine of the car needs a complete overhaul,FALSE,A thorough examination of machinery or a system,,,,
SILLY,It was a silly mistake that cost them the match,FALSE,Having or showing a lack of common sense or judgment,,,,
RUFFIAN,The ruffians attacked the old man and robbed him,FALSE,A violent person,,,,
CHEAP,I value quality and do not go for cheap alternatives,FALSE,Low in price; worth more than its cost,,,,
VALUE,I value discipline and integrity above all else,FALSE,The regard that something is held to deserve; the importance worth or usefulness of something,,,,
STOOGE,He was just a stooge of the powerful politician,FALSE,A person who serves merely to support or assist another,,,,
IRRATIONAL,I make rational decisions,FALSE,not irrational ones,,,,
ORGANIZE,I can organize my team and resources for optimal results,FALSE,To arrange or structure in a systematic way,,,,
BLIND,I am not a blind follower; I apply my own mind,FALSE,Unable to see,,,,
UNDERESTIMATE,I never underestimate my opponent and prepare thoroughly,FALSE,To estimate something to be smaller or less important than it actually is,,,,
IRRITATE,I keep my calm and do not get irritated by trivial matters,FALSE,To make someone annoyed or a little angry,,,,
MYOPIC,He has a myopic view and cannot see the long-term benefits,FALSE,Lacking imagination,or intellectual insight,,,
PANG,He felt a pang of guilt for his harsh words,FALSE,A sudden sharp pain or painful emotion,,,,
